sleep_hours,study_hours,mobile_usage_hours,tv_hours,exercise_hours,extracurricular_hrs,friends_time_hrs,family_time_hrs,attendance_pct,stress_level,gender,exam_score
7.5,5.74,2.57,1.61,0.81,1.35,2.28,2.67,50.6,8,Male,61.0
7.52,1.67,4.17,2.2,1.33,0.02,2.16,1.24,74.7,4,Female,50.1
9.57,6.24,3.92,0.04,2.68,1.54,1.89,1.21,86.4,10,Female,75.7
6.51,5.73,4.28,1.22,2.58,0.57,1.58,2.17,85.0,8,Male,68.96
6.39,6.38,4.22,0.0,0.45,0.75,3.01,3.39,75.0,3,Male,74.81
6.02,4.42,6.21,1.38,1.21,2.02,4.46,2.65,77.4,9,Male,53.44
7.74,6.02,2.53,3.2,3.04,0.0,4.05,1.97,72.0,8,Male,66.49
8.35,2.29,1.39,0.81,1.45,1.43,3.29,1.12,74.4,6,Female,60.9
6.86,5.57,2.13,2.7,1.73,1.42,0.09,3.37,85.5,9,Female,66.32
5.99,3.34,2.59,4.85,2.4,0.63,0.64,1.95,69.0,6,Female,52.26
6.01,2.02,2.23,3.45,0.51,0.89,3.56,1.74,70.2,3,Female,45.52
7.78,2.81,3.62,2.13,0.83,2.05,4.12,2.5,59.0,6,Male,55.91
7.89,4.51,5.13,2.86,1.32,2.57,3.05,1.6,85.8,5,Male,60.94
7.65,3.26,5.5,0.63,2.54,1.95,2.19,1.32,74.2,2,Female,67.06
6.2,5.06,4.16,0.43,2.4,2.52,3.85,1.41,62.8,6,Female,63.85
7.28,1.79,6.28,2.03,2.16,0.72,3.25,1.41,87.9,9,Female,43.82
7.14,1.31,3.04,2.4,1.47,0.09,3.64,0.99,76.8,9,Male,42.84
7.26,6.56,1.38,3.09,2.48,1.16,0.64,0.88,68.4,8,Male,68.73
8.05,5.86,4.87,1.43,1.46,1.76,2.84,2.87,88.1,5,Female,77.51
7.27,2.93,1.11,2.19,2.04,0.0,4.27,2.6,73.2,9,Male,52.32
7.81,4.5,2.52,2.16,2.31,0.55,3.03,1.26,58.5,10,Male,58.69
7.08,6.03,4.18,1.87,2.94,0.63,3.45,2.8,88.8,9,Female,66.17
7.35,5.13,3.37,1.93,1.53,1.45,2.54,2.28,67.3,8,Female,57.5
7.76,4.72,3.25,1.15,1.29,1.36,2.61,1.71,100.0,8,Male,73.07
5.25,6.14,1.96,2.28,2.62,0.66,3.9,0.9,72.0,5,Female,66.96
6.62,3.4,3.49,2.2,2.68,1.33,1.83,2.31,53.2,8,Male,52.19
6.44,4.55,4.8,1.56,1.15,0.4,1.73,3.68,98.4,4,Female,57.99
6.23,4.47,3.53,2.67,0.7,0.9,2.02,2.01,76.7,10,Female,52.59
6.67,4.09,2.42,3.03,2.56,0.31,2.52,2.9,80.4,9,Female,59.55
8.79,3.92,1.88,2.68,0.27,1.09,0.89,1.81,81.9,7,Male,63.98
5.96,4.61,2.45,0.96,0.23,0.64,3.23,2.83,61.0,8,Female,54.9
8.16,4.55,4.01,2.1,1.37,1.68,2.34,1.86,51.3,9,Female,53.96
4.98,2.93,3.95,1.09,1.58,1.18,3.35,0.0,100.0,6,Male,56.98
6.6,5.7,2.46,2.1,0.65,1.04,0.38,1.35,58.6,9,Male,56.42
7.2,3.04,0.63,1.09,1.68,2.44,3.36,2.12,97.0,8,Female,63.13
7.7,4.17,4.05,3.28,1.71,1.47,3.84,2.97,83.7,3,Female,69.54
7.85,4.06,2.33,2.78,1.12,0.94,2.94,1.86,79.5,2,Female,63.79
7.95,5.04,4.4,3.15,3.13,0.79,2.53,2.03,71.7,6,Male,64.23
6.58,1.32,2.52,3.05,1.84,0.37,3.37,1.47,100.0,1,Male,54.9
6.45,5.84,2.22,1.73,2.4,1.15,3.77,3.4,69.0,8,Male,67.19
8.03,3.48,3.7,1.57,0.34,1.42,3.02,3.35,69.4,7,Female,55.69
6.77,6.33,6.57,3.74,0.33,0.0,3.1,1.39,85.4,2,Female,64.16
5.47,3.78,4.47,1.83,1.87,0.25,4.16,0.64,69.3,4,Male,53.85
5.64,4.43,3.68,0.65,2.98,0.84,3.26,0.37,65.2,6,Male,58.79
5.9,7.37,3.97,3.01,0.69,0.43,1.7,2.54,76.7,8,Female,65.3
7.6,4.08,1.22,2.14,1.61,1.23,3.77,2.12,85.6,1,Male,72.31
7.17,6.36,2.04,3.51,0.51,1.33,2.38,1.3,99.9,6,Male,72.88
7.83,4.56,0.24,2.24,0.93,1.11,2.53,2.24,100.0,3,Female,70.9
6.49,5.12,5.75,1.98,1.65,1.59,2.61,0.89,55.9,4,Female,61.38
7.19,4.6,5.49,3.53,1.11,0.79,3.47,2.72,89.9,5,Female,64.11
7.75,5.77,4.01,0.46,0.46,1.17,4.25,1.66,65.6,2,Female,66.06
6.63,3.47,3.68,1.41,0.44,0.5,2.52,1.03,66.2,4,Female,58.62
7.55,3.02,1.48,1.11,0.0,1.4,4.23,1.67,70.9,5,Male,59.2
6.21,3.54,3.21,0.0,1.88,1.25,2.66,1.64,70.1,8,Female,51.92
6.56,4.65,5.83,2.87,1.98,0.36,3.9,2.33,64.5,3,Female,57.47
6.54,4.17,3.67,1.44,1.97,1.09,2.7,3.05,49.5,7,Female,52.08
5.56,5.57,2.77,2.91,0.77,1.17,2.01,3.0,94.7,4,Male,73.03
7.58,6.46,1.21,2.39,2.3,1.4,4.42,2.14,88.2,3,Female,79.83
6.44,3.04,5.29,2.61,2.07,1.42,1.91,1.83,77.2,2,Female,63.6
7.01,3.4,3.41,1.54,1.51,0.7,1.85,1.49,65.8,1,Male,65.71
7.58,2.35,1.22,1.24,1.37,1.73,1.24,0.41,92.2,4,Female,60.89
7.54,7.55,2.3,2.09,0.98,1.57,3.77,1.98,76.6,3,Male,86.71
7.8,4.96,1.84,2.92,1.65,0.69,4.0,1.23,70.5,8,Male,64.1
6.88,5.22,3.33,1.95,2.79,0.4,2.87,3.1,57.7,6,Male,62.68
6.49,2.49,3.77,1.3,2.41,0.75,1.52,1.82,83.8,1,Female,64.08
6.9,4.5,2.85,0.8,1.3,0.17,2.49,2.67,73.4,8,Male,62.61
4.98,5.26,4.51,2.2,1.93,1.35,2.2,1.57,80.5,4,Female,61.71
5.26,4.12,3.6,1.45,0.62,2.03,1.47,1.39,79.4,7,Male,58.59
5.41,6.11,4.88,1.93,2.08,2.2,2.01,2.54,85.0,2,Male,72.3
5.8,7.97,3.04,1.76,0.84,0.44,3.01,2.25,80.0,1,Male,84.86
7.48,3.08,7.46,1.56,2.05,1.75,1.89,2.29,73.7,2,Female,56.74
5.91,2.97,2.77,2.29,3.88,1.26,2.79,1.92,84.0,5,Male,57.08
6.55,3.18,2.33,2.55,1.04,0.0,0.72,2.71,88.8,9,Female,56.14
8.56,6.91,2.17,3.97,3.84,0.97,4.18,2.58,96.0,10,Female,75.69
6.57,6.06,3.23,2.76,1.89,0.89,2.11,0.04,63.9,9,Female,61.19
7.89,4.3,1.26,3.59,0.9,2.05,3.37,1.77,90.7,10,Female,62.44
5.88,4.55,3.88,1.18,0.86,0.59,2.69,2.91,58.3,8,Female,56.92
6.75,3.28,1.02,0.4,3.39,1.59,2.9,1.08,89.6,8,Female,62.91
5.86,5.84,3.71,1.99,1.89,1.13,1.37,0.48,70.3,5,Male,63.71
6.59,3.93,1.74,2.86,1.05,0.19,1.74,1.88,87.5,3,Male,70.65
8.01,4.11,3.0,2.7,1.34,0.81,1.76,2.47,95.3,7,Female,64.71
4.93,5.41,4.29,3.21,1.84,2.27,2.53,1.59,80.2,1,Female,66.83
7.52,4.22,6.5,0.0,1.49,1.08,3.83,3.16,77.4,2,Female,65.51
7.29,4.15,2.1,3.25,1.78,1.83,2.93,3.66,76.8,5,Female,63.91
6.29,4.52,3.3,2.34,2.92,1.8,1.6,0.27,72.4,7,Female,59.87
5.26,5.69,2.56,0.46,0.6,0.89,2.59,1.65,91.5,4,Male,78.76
7.09,6.97,2.37,2.72,2.02,0.3,2.42,0.0,76.7,8,Male,68.04
6.36,5.38,2.57,2.17,1.44,0.39,2.15,2.59,51.9,7,Male,55.43
7.28,5.7,4.57,2.38,1.1,2.22,2.48,1.39,88.6,3,Female,76.0
7.03,4.2,2.87,3.0,2.36,1.31,3.26,1.57,88.0,1,Female,69.66
8.92,3.44,6.42,2.43,0.33,0.0,1.78,3.03,78.5,3,Male,59.31
6.71,5.48,4.04,0.53,0.0,1.78,2.15,0.8,68.5,10,Male,59.23
5.77,4.76,2.19,1.86,1.68,0.0,3.48,0.58,64.1,3,Female,57.99
7.22,2.37,3.02,0.38,1.39,0.62,2.97,0.0,68.6,8,Female,52.38
7.26,4.01,2.46,2.65,0.42,1.26,3.78,3.14,80.4,7,Female,57.4
8.63,4.38,4.54,3.4,0.13,2.96,3.94,2.93,55.9,10,Male,56.11
8.0,3.73,1.37,0.76,3.04,1.77,1.14,1.74,83.1,10,Male,62.28
7.43,6.72,1.76,1.33,1.87,0.86,2.79,0.85,78.9,9,Female,76.95
8.76,5.22,2.73,1.12,1.52,1.22,1.99,2.75,93.4,4,Male,82.98
5.57,6.56,4.39,1.55,3.26,1.84,1.3,4.48,86.4,5,Male,74.43
6.23,4.9,5.1,2.41,2.32,2.2,1.71,1.79,69.3,5,Male,60.9
5.89,4.62,5.29,1.56,2.92,1.03,2.2,0.92,57.7,7,Female,53.29
6.53,3.1,4.19,2.65,0.56,1.05,2.21,3.12,68.1,2,Male,60.33
5.35,4.52,3.39,3.07,0.53,0.62,1.89,0.98,94.6,9,Male,55.63
7.76,4.52,4.53,3.1,1.99,1.67,2.49,1.67,81.5,7,Male,62.67
6.73,2.45,2.01,0.88,1.83,1.92,4.95,0.0,85.2,3,Female,60.34
5.24,3.69,1.1,3.39,2.5,0.0,0.77,1.73,70.4,1,Female,65.85
5.78,4.02,4.07,3.47,0.2,0.92,3.64,0.85,83.8,1,Female,61.59
7.38,5.12,2.19,3.55,2.06,0.35,2.48,3.13,59.8,4,Male,64.48
8.01,5.19,3.42,1.84,2.29,1.31,2.06,1.12,89.2,4,Female,79.0
9.4,3.63,3.66,1.25,2.25,0.33,0.48,2.7,64.1,2,Male,67.86
10.5,5.2,3.82,1.02,1.17,0.28,3.26,1.91,54.3,5,Female,70.97
7.5,4.23,4.72,0.9,1.91,1.99,1.06,2.11,100.0,1,Female,71.28
5.81,0.2,4.58,2.01,0.88,1.08,3.33,2.47,79.6,7,Male,38.1
4.44,3.77,3.75,2.85,1.27,1.16,4.24,1.95,79.3,5,Female,55.84
7.32,6.12,2.93,3.31,0.67,1.5,1.22,1.42,55.6,3,Male,69.92
6.02,1.98,3.64,1.51,0.89,1.88,3.67,1.27,85.5,5,Female,53.9
6.5,4.67,2.72,1.96,1.31,0.91,2.53,2.46,88.6,5,Female,64.67
6.27,6.88,3.24,1.9,1.11,0.92,0.41,0.29,75.6,9,Male,68.46
6.83,3.36,6.9,1.36,0.89,0.93,1.3,3.51,88.7,7,Female,48.35
8.28,4.5,3.74,2.74,0.46,1.96,2.68,2.12,92.0,3,Female,70.25
7.19,2.54,4.09,2.36,3.07,1.15,2.9,1.7,84.3,9,Female,48.93
6.81,6.94,2.58,2.14,1.1,1.0,0.92,2.24,52.0,4,Male,72.2
5.76,4.38,4.83,2.36,1.76,1.47,2.53,1.47,64.2,3,Female,62.39
4.99,4.57,4.49,2.62,0.09,2.48,3.32,1.84,98.2,8,Female,60.93
6.42,6.53,4.5,2.61,2.59,1.25,3.5,0.98,79.0,8,Male,62.28
6.94,5.49,3.78,1.16,1.63,1.01,2.09,2.34,79.0,1,Female,78.48
9.12,3.19,4.84,2.9,1.14,2.56,2.94,1.93,68.0,10,Female,53.93
7.16,3.53,5.15,2.26,1.15,2.13,3.57,2.17,70.4,7,Female,52.84
8.18,5.24,3.87,1.57,2.2,2.03,3.35,3.33,92.3,5,Female,77.88
6.4,3.56,3.35,2.23,0.0,0.85,3.39,1.28,96.0,8,Female,53.14
5.58,1.32,4.66,2.34,0.84,0.78,2.61,1.88,87.6,6,Female,41.68
5.84,4.42,2.32,3.08,1.4,0.0,2.41,0.51,84.6,10,Male,52.82
6.13,2.28,2.57,0.95,1.4,1.88,2.77,2.5,85.5,1,Female,64.41
9.55,6.92,3.43,3.32,3.5,1.25,1.74,1.98,77.2,6,Male,79.94
6.01,4.77,1.24,2.02,1.23,0.0,3.61,2.02,63.6,8,Female,55.61
8.01,3.14,4.58,1.49,2.29,2.04,0.97,1.86,61.0,1,Female,61.36
5.92,3.45,2.25,1.46,2.95,0.96,2.0,1.48,93.8,9,Male,58.93
8.12,1.67,2.89,1.0,2.04,1.05,2.46,4.25,77.6,4,Male,55.86
7.46,2.85,3.22,0.26,0.96,0.14,2.97,2.03,83.7,1,Female,66.42
6.81,6.02,3.55,2.68,0.47,1.54,3.16,2.27,80.5,4,Male,73.36
6.95,7.85,3.05,3.98,2.1,1.55,3.99,0.97,81.1,9,Male,74.94
6.21,5.59,3.41,0.38,2.82,1.17,2.58,2.8,82.1,10,Male,73.29
7.54,4.36,3.42,1.05,1.94,0.91,1.78,1.89,86.4,2,Female,73.23
6.45,3.85,2.92,2.75,2.49,3.04,2.35,2.4,68.8,4,Male,67.5
5.53,3.07,2.49,1.95,3.57,0.36,2.18,2.81,92.2,9,Male,56.49
5.47,7.59,4.91,2.83,2.17,0.69,3.02,1.91,69.1,1,Female,74.73
7.21,4.22,0.76,1.9,0.62,1.7,1.43,1.39,80.9,6,Female,66.65
8.89,7.67,3.23,1.42,1.54,0.49,2.32,0.0,63.8,6,Female,77.95
7.19,6.59,2.89,1.77,2.6,0.44,4.12,1.65,76.0,4,Male,75.45
6.86,1.89,4.04,0.0,1.3,1.99,2.68,1.39,70.1,4,Female,49.69
7.34,3.5,1.61,0.86,2.7,1.62,1.45,0.97,78.3,10,Male,56.77
8.57,3.5,2.85,2.95,1.45,1.54,2.16,3.31,86.8,4,Female,69.74
7.26,4.38,3.37,3.19,1.77,1.33,0.27,2.88,78.9,7,Male,64.47
6.51,4.41,4.89,3.41,1.22,0.72,2.44,0.35,100.0,8,Female,62.02
8.33,8.99,3.93,2.44,1.63,1.02,4.15,2.14,87.6,1,Female,91.25
7.51,2.88,1.96,0.0,1.67,1.14,1.31,1.26,75.3,9,Male,55.23
8.84,4.84,2.87,1.36,0.21,1.79,1.04,2.33,77.0,8,Male,62.69
7.22,5.42,4.65,3.32,1.15,1.5,1.85,1.28,82.5,2,Male,72.89
5.53,4.5,1.94,3.62,0.51,0.55,3.42,1.51,86.5,2,Male,62.34
5.36,4.67,3.4,3.36,1.17,1.75,4.2,2.87,63.2,6,Female,54.82
8.98,2.93,3.49,1.76,0.86,0.03,2.95,2.74,85.6,10,Male,54.32
9.07,4.66,3.0,0.69,2.31,0.98,1.21,3.36,63.5,9,Male,60.22
6.78,5.27,7.0,1.96,2.32,0.4,2.48,1.8,84.5,2,Male,69.05
6.54,4.99,2.96,2.01,1.95,0.6,4.29,0.69,91.2,7,Male,67.14
8.75,5.36,4.08,3.57,0.49,2.55,2.19,2.83,81.6,5,Female,70.12
5.67,6.62,2.5,2.23,1.42,0.17,2.64,2.83,50.1,7,Male,62.85
5.93,5.91,4.19,2.02,0.42,0.63,2.74,2.57,56.6,6,Male,59.14
7.77,4.61,4.63,2.07,1.38,1.56,0.95,1.33,84.8,6,Male,68.37
6.53,2.74,2.74,2.4,2.02,0.87,3.5,1.04,48.6,6,Male,47.96
6.99,3.6,3.43,2.63,2.29,1.31,3.35,2.48,85.3,1,Male,67.09
6.8,4.17,2.34,1.28,1.88,2.2,0.51,1.2,89.8,6,Male,65.81
7.41,4.88,2.01,0.94,2.51,1.66,1.17,1.72,91.6,2,Male,71.49
8.69,3.78,4.85,3.37,1.71,0.87,1.53,4.62,75.1,5,Male,64.28
7.11,3.1,2.78,0.36,1.31,1.11,3.25,3.92,83.3,6,Female,60.39
7.77,2.72,0.36,3.64,2.2,1.57,1.75,2.71,80.5,8,Female,56.47
4.54,2.02,5.79,0.09,2.23,1.64,2.9,1.4,60.3,9,Female,43.53
6.94,4.15,2.46,1.42,1.08,1.21,2.32,1.35,86.9,2,Female,71.0
5.99,2.3,3.18,2.97,1.8,1.45,2.57,2.64,94.7,6,Male,53.35
5.54,3.0,5.63,2.0,1.26,1.45,3.0,3.35,86.3,8,Male,50.84
5.95,3.91,3.32,0.68,0.0,1.14,2.77,1.54,72.0,4,Female,59.48
6.6,2.5,3.29,2.43,1.85,0.78,2.48,1.59,86.9,1,Female,62.12
8.1,5.07,1.9,2.07,0.46,1.72,2.83,2.08,93.6,10,Male,64.25
5.41,5.61,1.37,1.78,1.76,1.4,2.72,0.75,92.0,9,Female,68.44
7.04,3.68,3.28,1.38,0.27,0.0,2.29,0.78,90.3,8,Male,58.8
6.42,3.84,3.97,1.97,0.92,0.62,2.07,0.94,58.9,8,Male,47.5
6.61,5.31,3.9,1.42,1.15,0.86,4.38,2.49,82.8,4,Female,61.97
8.2,3.43,2.87,4.43,2.46,1.06,2.06,2.24,85.7,8,Female,61.15
7.65,3.33,3.53,1.76,1.07,2.04,3.87,3.02,90.5,10,Female,56.87
8.6,6.29,1.11,1.63,0.64,3.44,1.81,0.44,84.2,3,Female,86.47
6.81,5.83,4.1,1.46,1.79,0.0,3.31,0.63,96.6,5,Male,71.16
6.16,5.4,3.71,3.78,1.33,1.41,4.28,2.41,56.1,9,Male,55.59
6.73,5.89,6.07,0.36,2.13,1.25,2.16,1.22,84.7,3,Male,70.12
7.29,1.53,3.51,2.36,0.69,1.07,1.83,1.28,83.7,7,Male,46.95
7.21,6.53,2.27,1.76,1.67,1.58,2.07,2.91,88.8,1,Female,81.88
5.7,5.09,3.43,0.58,3.48,1.3,2.48,1.5,96.5,10,Male,68.12
7.11,6.02,3.07,1.18,1.31,0.95,2.82,1.61,67.3,1,Male,75.11
7.27,5.08,4.07,2.32,1.65,1.22,2.46,1.77,96.1,1,Female,75.72
10.02,4.57,3.53,1.14,0.17,1.59,2.08,1.83,87.8,5,Male,72.81
9.25,4.09,1.86,2.26,0.82,1.52,4.45,2.62,75.8,8,Male,61.93
5.98,5.05,1.37,3.73,1.87,1.33,2.3,0.91,67.1,3,Female,69.15
6.66,4.03,3.84,2.17,1.24,0.79,1.88,1.83,80.4,7,Male,62.05
5.24,5.8,5.3,0.55,1.99,3.17,3.33,3.05,81.4,4,Female,72.04
6.29,2.12,3.6,1.15,1.84,1.45,3.35,3.92,82.1,10,Male,42.17
7.38,3.69,4.56,1.71,0.45,1.73,3.91,0.78,70.5,5,Male,55.73
8.45,7.57,4.82,1.65,2.31,0.84,4.43,2.3,85.3,5,Male,80.54
6.13,3.56,3.85,2.15,0.51,1.33,2.85,1.83,73.1,1,Male,63.64
6.22,4.14,2.44,2.31,0.89,1.33,2.21,1.91,92.6,3,Male,65.56
4.42,3.18,3.75,3.73,1.68,0.0,0.6,1.29,98.5,1,Female,57.0
6.8,5.0,5.07,2.0,2.75,0.7,1.56,2.68,68.2,9,Female,59.92
5.73,3.4,4.19,0.85,0.7,0.69,2.71,2.63,78.7,5,Male,54.99
6.36,4.22,4.47,3.15,1.62,0.78,1.32,4.27,89.7,4,Male,61.73
5.95,5.77,2.9,3.26,1.62,0.45,0.91,0.81,81.3,3,Female,69.7
6.89,3.45,3.24,2.23,2.03,1.23,2.57,0.43,61.8,8,Male,47.43
4.89,5.68,3.35,1.75,2.45,2.18,3.28,3.85,88.4,7,Male,67.76
5.24,5.73,3.43,2.62,1.18,1.29,2.25,1.95,70.7,4,Female,64.11
9.56,6.08,5.02,1.79,2.31,0.37,3.4,1.59,80.4,3,Female,78.28
5.46,4.71,0.45,0.0,2.56,0.48,3.12,2.17,66.1,10,Male,59.67
5.68,9.36,3.54,2.56,2.93,0.94,3.65,0.74,87.5,1,Male,90.83
9.2,6.08,3.4,2.89,1.9,0.21,4.67,2.34,72.9,6,Female,69.42
10.49,4.99,1.72,3.44,1.63,1.41,5.11,1.93,88.8,10,Male,67.47
5.59,3.19,4.37,1.27,1.12,2.15,3.23,2.97,75.4,4,Female,52.29
6.56,4.35,2.56,2.23,0.33,0.8,2.04,2.77,72.2,1,Male,69.64
7.41,6.64,3.04,2.25,1.28,1.25,2.56,2.85,82.9,9,Male,70.07
9.07,7.06,5.9,2.09,1.59,0.9,4.07,2.17,65.1,10,Female,59.06
5.82,6.72,4.81,2.11,1.41,0.76,1.61,3.44,99.6,1,Male,75.26
6.71,5.68,4.25,2.04,1.98,1.33,3.95,2.52,80.2,4,Male,72.23
7.93,2.62,4.0,2.21,0.34,0.74,2.33,1.52,71.2,1,Female,57.98
7.52,5.23,3.29,2.74,1.35,0.63,2.73,1.27,73.2,9,Female,59.78
6.55,2.64,6.1,3.22,3.1,0.07,1.69,1.37,78.2,9,Male,44.36
6.84,2.27,4.54,1.24,2.3,1.25,1.18,2.53,89.9,9,Female,52.59
5.35,4.86,2.53,1.83,1.99,1.95,2.22,0.8,67.3,4,Male,68.55
6.71,5.28,1.68,1.58,1.81,1.7,3.8,2.14,73.6,8,Female,66.65
6.68,5.86,4.24,1.43,1.21,2.24,1.8,1.25,77.4,2,Male,74.23
7.28,5.25,3.43,0.38,0.1,0.73,4.11,0.87,96.5,2,Male,72.16
6.33,5.3,1.64,2.02,1.87,1.8,1.93,1.02,90.0,6,Male,66.68
7.57,3.02,4.06,2.48,0.0,0.43,1.43,1.98,97.1,10,Female,52.49
8.22,4.34,3.15,1.84,1.24,1.7,2.75,2.69,78.4,3,Male,70.95
7.19,2.24,4.19,1.99,1.5,2.35,3.18,1.39,95.2,5,Female,59.53
7.42,1.49,4.07,2.42,1.14,1.55,2.69,0.13,93.2,10,Male,49.06
7.06,5.61,2.71,3.41,3.24,2.36,2.65,4.84,86.4,5,Female,71.71
7.0,3.37,4.32,1.58,2.96,0.78,4.1,3.01,87.3,9,Female,53.36
6.13,5.81,2.85,0.83,2.33,1.11,2.59,2.84,70.9,7,Male,69.48
7.38,6.16,2.94,1.91,0.76,0.56,2.03,3.47,99.9,9,Female,71.15
6.88,3.57,2.81,3.88,3.04,1.22,1.37,2.08,75.1,4,Male,66.16
9.51,5.39,4.97,0.84,2.0,1.39,3.77,1.88,84.7,9,Female,66.77
8.89,3.51,3.14,2.65,0.75,1.22,2.07,3.22,86.1,9,Male,64.24
7.46,1.73,5.28,3.16,1.53,0.87,2.17,3.21,61.5,9,Male,39.38
6.08,4.68,5.82,0.0,2.27,0.86,3.55,2.55,77.4,10,Female,58.93
5.67,3.79,2.54,2.41,1.02,1.44,4.55,2.79,80.4,4,Male,52.82
8.43,3.84,0.0,2.6,1.61,1.09,2.75,0.89,76.6,9,Male,63.71
7.32,7.46,4.86,1.73,1.75,0.39,2.36,1.77,77.5,7,Male,72.62
7.58,2.21,3.06,1.35,0.62,0.0,2.49,3.53,95.9,1,Female,57.69
4.91,5.07,2.37,1.41,1.28,0.78,2.04,2.72,68.1,10,Female,55.57
8.11,3.01,2.73,1.67,0.68,0.23,2.14,0.68,62.8,8,Female,47.63
7.55,5.86,2.96,1.7,2.19,0.62,2.15,1.52,71.0,7,Female,67.05
5.67,4.95,5.19,1.51,0.77,0.9,3.41,3.39,86.9,1,Female,67.98
6.43,5.07,3.71,1.66,1.73,1.1,2.41,2.41,88.1,10,Female,60.28
7.32,3.08,5.17,3.19,0.39,0.73,3.86,2.16,85.3,10,Female,46.38
7.06,3.35,4.14,0.79,0.59,2.73,2.38,2.19,88.9,9,Female,56.03
6.65,5.89,3.1,0.25,0.55,0.32,2.13,1.92,81.1,4,Female,78.87
6.88,7.16,2.99,3.21,1.27,2.05,3.78,1.53,71.8,1,Male,79.73
6.7,5.22,4.23,1.81,1.64,1.09,2.52,1.25,66.7,8,Female,58.94
7.18,3.15,4.57,1.61,1.79,0.74,2.37,2.91,62.9,6,Female,53.87
8.77,5.01,4.8,1.89,0.08,1.61,2.53,2.21,75.3,3,Male,68.13
3.92,8.14,3.16,2.21,1.37,0.88,3.97,2.64,87.5,3,Female,73.75
6.72,4.65,3.73,1.48,0.9,0.64,2.81,2.49,80.8,7,Female,62.49
7.21,6.69,4.26,2.51,1.93,2.45,3.75,3.27,78.3,9,Female,71.86
7.36,3.39,3.0,1.04,1.29,0.0,2.27,2.41,65.3,6,Female,60.82
6.55,4.44,2.02,1.7,1.44,1.03,3.59,2.74,100.0,10,Male,64.14
4.89,5.43,2.45,0.0,0.9,1.33,2.74,2.15,68.1,6,Female,62.88
7.39,5.1,3.19,3.17,2.88,2.19,3.38,1.15,79.4,6,Male,67.97
9.07,3.35,4.36,1.82,0.47,0.92,3.47,1.8,90.0,4,Male,67.93
5.16,3.29,5.14,2.67,1.18,3.06,1.56,2.53,78.5,1,Female,58.06
8.04,5.98,1.74,2.48,1.59,1.73,2.57,2.61,68.3,3,Female,73.36
6.61,6.29,2.72,2.55,1.3,0.0,3.46,3.31,87.7,4,Female,80.18
6.93,6.77,3.03,1.99,0.89,0.18,3.62,1.59,61.9,7,Female,63.22
5.74,7.21,4.53,2.39,0.05,1.37,3.75,2.2,98.9,2,Female,72.76
6.6,4.7,2.81,1.04,0.95,0.4,2.6,1.88,81.4,6,Female,64.71
